aaa------- --------------
1658172037453	1000	36.62.65.225	5	53	user7	5453	1.1.1	iOS
1658172037475	9000	123.232.221.185	3	39	user10	5632	1.1.3	Android
1658172037479	9000	61.234.48.248	7	71	user5	5348	1.1.1	WP
1658172037482	1000	210.47.53.174	5	59	user4	5384	1.1.2	WP
1658172037485	7000	36.59.58.41	8	84	user5	5889	1.1.0	iOS
1658172037488	0	61.236.94.194	2	27	user1	5824	1.1.1	Android
1658172037490	0	61.234.252.160	10	108	user3	5627	1.1.2	Android
1658172037493	8000	171.13.223.71	1	11	user8	5488	1.1.0	iOS
1658172037496	5000	61.234.227.193	1	16	user1	5221	1.1.3	WP
1658172037498	4000	210.28.148.111	8	87	user1	5424	1.1.3	WP
1658172037500	4000	182.82.237.99	8	88	user3	5582	1.1.0	iOS
1658172037505	9000	36.59.86.49	5	59	user7	5514	1.1.2	WP
1658172037508	1000	210.33.21.99	10	101	user4	5975	1.1.3	iOS
1658172037510	1000	210.26.34.161	3	33	user7	5429	1.1.3	WP
1658172037512	3000	106.82.155.81	7	75	user6	5691	1.1.0	iOS
1658172037515	3000	106.84.158.103	5	59	user6	5592	1.1.1	iOS
1658172037517	4000	106.80.40.92	8	85	user6	5080	1.1.2	Android
1658172037521	8000	171.8.255.142	9	96	user1	5905	1.1.3	WP
1658172037523	4000	121.76.133.99	1	17	user2	5865	1.1.1	iOS
1658172037525	2000	222.27.25.103	10	104	user10	5964	1.1.2	Android
1658172037527	0	61.232.237.167	7	72	user8	5092	1.1.1	WP
1658172037532	5000	171.12.235.183	8	86	user10	5459	1.1.1	WP
1658172037535	1000	182.87.18.52	2	24	user8	5018	1.1.3	iOS
1658172037538	5000	121.77.40.230	10	109	user9	5244	1.1.2	WP
1658172037540	1000	61.232.124.125	8	86	user4	5321	1.1.1	WP
1658172037543	2000	182.81.161.11	4	46	user4	5776	1.1.2	Android
1658172037545	0	171.11.206.38	5	53	user5	5912	1.1.1	Android
1658172037550	3000	36.61.130.97	2	29	user4	5537	1.1.1	iOS
1658172037552	6000	171.8.126.85	3	33	user8	5267	1.1.3	WP
